kind,arm,repeat,case_id,track,run,judge,episode_id,status,score,raw_score,outcome,dimensions,rule_failures,confirmed_critical,pending,episode_sha256,judge_result_sha256,judge_provider_eligible,judge_protocol_eligible,runtime_durable_status,rule_pass,source_protocol_eligible,source_provider_eligible,source_trusted
product,baseline,1,e7-j01-a,assessment,product-baseline-j01,product-baseline-j01/common-judge,episode-aebd958c615043a0993edd81,judge_error,,,judge_error,{},"[""common.action_classification"", ""assessment.invocation_durable""]",[],[],b50ca66e40fb0dc3de7b8aed6a04fdb9e18d217cb171ba92ae0599aa4c88d178,3a0381eae407c78ad78fd733df30b3669a830076b0782e729f59c3611b776ffd,False,True,deferred,False,True,True,True
product,baseline,1,e7-j01-i,intervention,product-baseline-j01,product-baseline-j01/common-judge,episode-d6e3b6b40eedc12e89b7ab23,complete,100.0,100.0,pass,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],60856dcebebd13067efa1e900f1a9446241980d8be486a12ec6c6a7a0efd9bf3,f995122d78bc4fc48bf045d7b60ef33f758d96ed3e5ecb1231196c85f0274fd6,True,True,committed,True,True,True,True
product,baseline,1,e7-j01-p,planning,product-baseline-j01,product-baseline-j01/common-judge,episode-3ba83cf7565f4c5820ccbdfc,complete,39.0,100.0,fail,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}","[""common.action_classification""]",[],[],ab5b90d5b0b025a2f26af195fb18bd524f4e8ff18a8b7f5b855deab33498ea0e,46f41812dc77fa5c70998faaeb1e75223573b630d6f13490b9e93aba2271462e,True,True,deferred,False,True,True,True
product,baseline,1,e7-j01-r,revision,product-baseline-j01,product-baseline-j01/common-judge,episode-d139365323c643a415eb5d9c,complete,100.0,100.0,pass,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],05f733ae9e61d36bdb6de8a7332343e781db91addeb62b5f7162da718be6b9f2,44eb7290c6fb92df439660edce56c95ed5ffd84e4b74b71a171c2443dfe38929,True,True,committed,True,True,True,True
product,candidate,1,e7-j01-a,assessment,product-candidate-j01,product-candidate-j01/common-judge,episode-aebd958c615043a0993edd81,complete,39.0,100.0,fail,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}","[""common.action_classification"", ""assessment.invocation_durable""]",[],[],10d57fe268d2b09ba19f623951bd0cba28f19069d92b5052ad42bac55f72abde,360e40b9590a58a93ffda0cedc01f40b20a83cf74a64d5700bfd3f3637bf4a7f,True,True,deferred,False,True,True,True
product,candidate,1,e7-j01-i,intervention,product-candidate-j01,product-candidate-j01/common-judge,episode-d6e3b6b40eedc12e89b7ab23,complete,39.0,100.0,fail,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}","[""common.action_classification""]",[],[],47e828cf00a0eab300373e74a04becc5f26055e17b84a9d3ca41e111d8337daa,b89cc0d5b1fa417ae6e115bea81f42180f13fd767ec0e308656929fe145d00f0,True,True,committed,False,True,True,True
product,candidate,1,e7-j01-p,planning,product-candidate-j01,product-candidate-j01/common-judge,episode-3ba83cf7565f4c5820ccbdfc,complete,39.0,100.0,fail,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}","[""common.action_classification""]",[],[],ac15c1a50a7c78e02045c1eb1aafda9f59a30b2e247a7983e9b360515ddebac4,0edc99ee96600519afaef2ab52c90343e9c89eb77bbdff491d6211d36c6a7960,True,True,deferred,False,True,True,True
product,candidate,1,e7-j01-r,revision,product-candidate-j01,product-candidate-j01/common-judge,episode-d139365323c643a415eb5d9c,complete,39.0,100.0,fail,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}","[""common.action_classification""]",[],[],adb2268432e43efaaec523304d800037b3b2c4246bf31f6f149d728b10425607,9fb132c347dabf0f7980269f4e49ac9789c9d579607f1f39aca3da5648e5986f,True,True,committed,False,True,True,True
product,candidate,1,e7-j02-a,assessment,product-candidate-j02,product-candidate-j02/common-judge,episode-288e20dd5a261986187e8ebc,complete,39.0,100.0,fail,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}","[""common.action_classification"", ""assessment.invocation_durable""]",[],[],ffac190cb6e2b798b3d692468e6014f7cd9099c0894ceb7bb7acf0a9948742ed,9006a35ecc28041ffae51b2f8c721216732c5e8145a188fa2b6559d949f6e320,True,True,deferred,False,True,True,True
product,candidate,1,e7-j02-i,intervention,product-candidate-j02,product-candidate-j02/common-judge,episode-82b1e47a69bbcc957b872bc5,complete,87.5,87.5,pass,"{""D1"": 1, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 1}",[],[],[],c82aeb45ffb4a549018e8cfb6378ffb4bc27a012b7c468799e4846645dd87b19,0da27595502cacc8760e35825be5c96baf974f2ce4c5d553b0000a665b0253a4,True,True,committed,True,True,True,True
