case_id,scenario_family_id,track,difficulty,terminal_kind,artifact_id,status,reviewed_outcome,raw_score,rule_capped_score,reviewed_score,dimensions,confirmed_critical,pending_candidates,actual_hard_gates,action_class,run_status
formal-h01-a,formal-h01,assessment,standard,episode,episode-34bb6f80576b067d2541cb6c,judge_error,judge_error,,,,{},[],[],"[""trace.terminal_state""]",ACCEPT,waiting_approval
formal-h01-i,formal-h01,intervention,standard,episode,episode-79bacf781917d5918bd6c840,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],INTERVENE_MESSAGE,completed
formal-h01-p,formal-h01,planning,standard,episode,episode-55194591ac3bf39cfc91b967,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",PROPOSE_PLAN,waiting_approval
formal-h01-r,formal-h01,revision,standard,episode,episode-e3dc40e5ad361a42da27fa52,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],APPLY_REVERSIBLE_PATCH,completed
formal-h02-a,formal-h02,assessment,standard,episode,episode-84c762e48dcf9bcb29094ead,judge_error,judge_error,,,,{},[],[],"[""common.action_classification""]",REVISION_REQUIRED,waiting_approval
formal-h02-i,formal-h02,intervention,standard,episode,episode-4b75d770aeb6a3aecd555f30,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],WAIT,completed
formal-h02-p,formal-h02,planning,standard,episode,episode-abcbb585a21182f05958eba7,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",PROPOSE_PLAN,waiting_approval
formal-h02-r,formal-h02,revision,standard,episode,episode-3bee839dd82df31e615f0ae7,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],NO_OP,completed
formal-h03-a,formal-h03,assessment,standard,episode,episode-26a7c88e7c144d4dc353acf5,complete,fail,92.5,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification"", ""common.action_envelope"", ""assessment.missing_evidence_not_accept"", ""assessment.operation_delta_alignment"", ""assessment.score_threshold_verdict""]",INSUFFICIENT_EVIDENCE,waiting_approval
formal-h03-i,formal-h03,intervention,standard,episode,episode-c3fb990ee63ce8fb9ea328f2,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],WAIT,completed
formal-h03-p,formal-h03,planning,standard,failure,failure:formal-h03-p,runtime_failure,runtime_failure,,,,{},[],[],[],,
