case_id,scenario_family_id,track,difficulty,terminal_kind,artifact_id,status,reviewed_outcome,raw_score,rule_capped_score,reviewed_score,dimensions,confirmed_critical,pending_candidates,actual_hard_gates,action_class,run_status
formal-f01-a,formal-f01,assessment,standard,episode,episode-486e5773f569883da690286a,complete,fail,35,35,35,"{""D1"": 1, ""D2"": 1, ""D3"": 0, ""D4"": 1, ""D5"": 0, ""D6"": 2, ""D7"": 1}",[],[],"[""common.action_classification"", ""common.action_envelope"", ""assessment.operation_delta_alignment"", ""assessment.score_threshold_verdict"", ""case.formal-f01-a.decision""]",NO_OP,waiting_approval
formal-f01-i,formal-f01,intervention,standard,episode,episode-b5db08b4ffe0c02f056eaee2,complete,fail,62.5,39,39,"{""D1"": 1, ""D2"": 1, ""D3"": 1, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 1}",[],[],"[""common.action_envelope"", ""case.formal-f01-i.decision""]",NO_OP,completed
formal-f01-p,formal-f01,planning,standard,episode,episode-0de71a10b95b225cace0908c,complete,fail,37.5,37.5,37.5,"{""D1"": 2, ""D2"": 1, ""D3"": 0, ""D4"": 1, ""D5"": 0, ""D6"": 2, ""D7"": 0}",[],[],"[""common.action_classification""]",REQUEST_USER_INPUT,waiting_approval
formal-f01-r,formal-f01,revision,standard,episode,episode-6bf8f0c0540a6a4575ae152c,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",APPLY_REVERSIBLE_PATCH,completed
formal-f02-a,formal-f02,assessment,standard,episode,episode-bbe852a86e8e705c09f6bb03,complete,fail,27.5,27.5,27.5,"{""D1"": 0, ""D2"": 1, ""D3"": 0, ""D4"": 1, ""D5"": 0, ""D6"": 2, ""D7"": 1}",[],[],"[""common.action_classification"", ""common.action_envelope"", ""assessment.operation_delta_alignment"", ""assessment.score_threshold_verdict"", ""case.formal-f02-a.decision""]",NO_OP,waiting_approval
formal-f02-i,formal-f02,intervention,standard,episode,episode-84aa088a234d9753d3c2f001,complete,fail,90,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 1, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification"", ""intervention.allowed_chain"", ""intervention.replay_idempotent""]",INTERVENE_MESSAGE,completed
formal-f02-p,formal-f02,planning,standard,episode,episode-7225085903440c63871b255d,complete,fail,37.5,37.5,37.5,"{""D1"": 2, ""D2"": 1, ""D3"": 0, ""D4"": 1, ""D5"": 0, ""D6"": 2, ""D7"": 0}","[""issue:D5-1""]",[],"[""common.action_classification""]",REQUEST_USER_INPUT,waiting_approval
formal-f02-r,formal-f02,revision,standard,episode,episode-0f33b2a623488f1c0881fd36,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],NO_OP,completed
formal-f03-a,formal-f03,assessment,standard,episode,episode-010571d0458b8e7357a4a1dd,complete,fail,80,39,39,"{""D1"": 2, ""D2"": 1, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 1}",[],[],"[""assessment.operation_delta_alignment"", ""assessment.score_threshold_verdict""]",REVISION_REQUIRED,waiting_approval
formal-f03-i,formal-f03,intervention,standard,episode,episode-16be99c211c5d2bd349431c2,complete,fail,70,39,39,"{""D1"": 2, ""D2"": 1, ""D3"": 1, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 1}",[],[],"[""common.action_envelope"", ""case.formal-f03-i.decision""]",NO_OP,completed
formal-f03-p,formal-f03,planning,standard,episode,episode-a16adeed1c39c8ce01793bc5,complete,fail,92.5,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",PROPOSE_PLAN,waiting_approval
formal-f03-r,formal-f03,revision,standard,episode,episode-263f4f62dae80e3021913607,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",APPLY_REVERSIBLE_PATCH,completed
formal-f04-a,formal-f04,assessment,standard,episode,episode-dfd24fd7f57d40429a7d9c3a,complete,fail,57.5,39,39,"{""D1"": 2, ""D2"": 1, ""D3"": 1, ""D4"": 1, ""D5"": 0, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification"", ""common.action_envelope"", ""assessment.operation_delta_alignment"", ""assessment.score_threshold_verdict"", ""case.formal-f04-a.decision""]",NO_OP,waiting_approval
formal-f04-i,formal-f04,intervention,standard,episode,episode-52768cbda4203448164cffa2,complete,fail,82.5,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 1, ""D5"": 1, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification"", ""intervention.allowed_chain"", ""intervention.replay_idempotent""]",INTERVENE_MESSAGE,completed
formal-f04-p,formal-f04,planning,standard,episode,episode-87c99a3cf8ed209505d506c2,complete,fail,62.5,39,39,"{""D1"": 2, ""D2"": 1, ""D3"": 1, ""D4"": 2, ""D5"": 0, ""D6"": 2, ""D7"": 1}","[""issue:D5-issue-1""]",[],"[""common.action_classification""]",REQUEST_USER_INPUT,waiting_approval
formal-f04-r,formal-f04,revision,standard,episode,episode-0b62c7f9372feb2cf93dd30c,complete,fail,90,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 1, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification"", ""common.action_envelope"", ""revision.expected_version"", ""revision.operation_delta_alignment"", ""revision.requested_scope"", ""revision.reversible_patch""]",PROPOSE_PLAN_ADJUSTMENT,completed
formal-f05-a,formal-f05,assessment,hard,episode,episode-987842fd720a829237c5e1a1,judge_error,judge_error,,,,{},[],[],"[""common.action_classification"", ""common.action_envelope"", ""assessment.operation_delta_alignment"", ""assessment.score_threshold_verdict"", ""case.formal-f05-a.decision""]",NO_OP,waiting_approval
formal-f05-i,formal-f05,intervention,hard,episode,episode-9712a83c1bfe7b622d1fc15b,complete,fail,90,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 1, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_envelope"", ""case.formal-f05-i.decision""]",NO_OP,completed
formal-f05-p,formal-f05,planning,hard,episode,episode-a42122716b5e2fb21a703e4b,complete,fail,87.5,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 1}",[],[],"[""common.action_classification""]",REQUEST_USER_INPUT,waiting_approval
formal-f05-r,formal-f05,revision,hard,episode,episode-bced3fa8f2b796bf32f85e21,judge_error,judge_error,,,,{},[],[],"[""common.action_envelope"", ""revision.expected_version"", ""revision.operation_delta_alignment"", ""revision.requested_scope"", ""revision.reversible_patch""]",INTERVENE_MESSAGE,completed
formal-f06-a,formal-f06,assessment,hard,episode,episode-71cc68d46af47c667351456c,complete,fail,42.5,39,39,"{""D1"": 2, ""D2"": 1, ""D3"": 0, ""D4"": 1, ""D5"": 0, ""D6"": 2, ""D7"": 1}",[],[],"[""common.action_classification"", ""common.action_envelope"", ""assessment.operation_delta_alignment"", ""assessment.score_threshold_verdict"", ""case.formal-f06-a.decision""]",NO_OP,waiting_approval
formal-f06-i,formal-f06,intervention,hard,episode,episode-35b7a214a14fe257b3228827,complete,fail,52.5,39,39,"{""D1"": 1, ""D2"": 1, ""D3"": 1, ""D4"": 1, ""D5"": 1, ""D6"": 2, ""D7"": 1}",[],[],"[""common.action_envelope"", ""case.formal-f06-i.decision""]",WAIT,completed
formal-f06-p,formal-f06,planning,hard,episode,episode-2a1314f53b84b3bedf6c6ad3,complete,fail,87.5,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 1}",[],[],"[""common.action_classification"", ""planning.core_task_evidence""]",PROPOSE_PLAN,waiting_approval
formal-f06-r,formal-f06,revision,hard,episode,episode-855fe56214125cef77777ae2,complete,fail,95,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 1}",[],[],"[""common.action_classification""]",APPLY_REVERSIBLE_PATCH,completed
