case_id,scenario_family_id,track,difficulty,terminal_kind,artifact_id,status,reviewed_outcome,raw_score,rule_capped_score,reviewed_score,dimensions,confirmed_critical,pending_candidates,actual_hard_gates,action_class,run_status
formal-g01-a,formal-g01,assessment,standard,episode,episode-7aafd70e332b6094bbde31e0,complete,fail,82.5,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 1, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_envelope"", ""case.formal-g01-a.decision""]",INSUFFICIENT_EVIDENCE,waiting_approval
formal-g01-i,formal-g01,intervention,standard,episode,episode-0ef5260d1871d4185ee9ec6f,complete,fail,87.5,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 1, ""D4"": 2, ""D5"": 2, ""D6"": 1, ""D7"": 2}",[],[],"[""common.action_classification"", ""intervention.allowed_chain""]",INTERVENE_MESSAGE,completed
formal-g01-p,formal-g01,planning,standard,episode,episode-9694ed34572fd9c775ef40ec,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",PROPOSE_PLAN,waiting_approval
formal-g01-r,formal-g01,revision,standard,episode,episode-554ebcdf2f9bf8f3bfb85135,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],APPLY_REVERSIBLE_PATCH,completed
formal-g02-a,formal-g02,assessment,standard,episode,episode-b156df5924392968b4aaff7c,complete,fail,92.5,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",REVISION_REQUIRED,waiting_approval
formal-g02-i,formal-g02,intervention,standard,episode,episode-54b7b31e7984a924f9246ac4,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],WAIT,completed
formal-g02-p,formal-g02,planning,standard,episode,episode-b11b2b0c810cbca72922cf20,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",PROPOSE_PLAN,waiting_approval
formal-g02-r,formal-g02,revision,standard,episode,episode-3b2459e907134306c99ffea1,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],NO_OP,completed
formal-g03-a,formal-g03,assessment,standard,episode,episode-89450d67205a4afac4cacfd8,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",INSUFFICIENT_EVIDENCE,completed
formal-g03-i,formal-g03,intervention,standard,episode,episode-091d86f22e10b65b7ea502eb,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],WAIT,completed
formal-g03-p,formal-g03,planning,standard,episode,episode-e9bf7667e7692735f2c338a1,judge_error,judge_error,,,,{},[],[],[],REQUEST_USER_INPUT,completed
