case_id,case_sha256,track,review_status,reviewer_role,review_record
primary-s01-p,3a4501ed79bb6660243f33024057f0b2b2607f805be187c4042d1c7f944923c5,planning,ai_reviewed,delegated_ai_reviewer,case:primary-s01-p
primary-s01-i,b45babb8dfdd4b16fc0f1a904ef8cf472e6b5df863ab4b678c8f889fedae7e91,intervention,ai_reviewed,delegated_ai_reviewer,case:primary-s01-i
primary-s01-a,aa8776f07c85324cb6bf82fc5a41c085acf59e0e92db369b95e581d96e3d8d77,assessment,ai_reviewed,delegated_ai_reviewer,case:primary-s01-a
primary-s01-r,6ab5a5f4c7c0ae92d276882ea973db14f5b8d593b5fca15ad21496f5135761de,revision,ai_reviewed,delegated_ai_reviewer,case:primary-s01-r
primary-s02-p,dfebe7a45badd92cfb18164985f4f2127142da47df1d9ba23f456236b18fcbd3,planning,ai_reviewed,delegated_ai_reviewer,case:primary-s02-p
primary-s02-i,291dd1e67c3cb37074c79633fdf085ea65a60fea7d88d85e0f2617379dfec2a3,intervention,ai_reviewed,delegated_ai_reviewer,case:primary-s02-i
primary-s02-a,add97e528f56020340e5c39b984f58c2223dfceff2b376352389aa8c3bbf07b7,assessment,ai_reviewed,delegated_ai_reviewer,case:primary-s02-a
primary-s02-r,84f24eedb2a3c49a1bb90f748322c17dcd7f7bce4b91066fbd4e787d8382cd92,revision,ai_reviewed,delegated_ai_reviewer,case:primary-s02-r
primary-s03-p,03fa79db0c51c1b2d9e83329d5a933a4a15e9c661e2d0462097ec460bb026225,planning,ai_reviewed,delegated_ai_reviewer,case:primary-s03-p
primary-s03-i,536054e88a4b131b87652e763982374ad548d816942261a4cbb660ff140a1891,intervention,ai_reviewed,delegated_ai_reviewer,case:primary-s03-i
primary-s03-a,c30096f26c96a38ab22c3f0e064a6b9dbe76022e44c4800f9b5eccfa18d40be0,assessment,ai_reviewed,delegated_ai_reviewer,case:primary-s03-a
primary-s03-r,a8bd680c1816113eaf7f18f73fc73ac4901d43eea9ca9d9888506ada9e2bb318,revision,ai_reviewed,delegated_ai_reviewer,case:primary-s03-r
primary-s04-p,93eafdf47dd5cfd4f5b7477b2cc1345955465f49ed759ab58ae49b063edca50f,planning,ai_reviewed,delegated_ai_reviewer,case:primary-s04-p
primary-s04-i,db8c0fefdf1ce00b7bdea0a3327c8a868aca11eec8a57e6f1fb66007c48c7bc3,intervention,ai_reviewed,delegated_ai_reviewer,case:primary-s04-i
primary-s04-a,57c67cc2203a2ffd34179278c14f32be285ea54e8bf89344d0aa05acf033536e,assessment,ai_reviewed,delegated_ai_reviewer,case:primary-s04-a
primary-s04-r,86b2e9a9d387685f7e1645fdcc02b7b32d290b37b97d1cd2d6be783f51ce3809,revision,ai_reviewed,delegated_ai_reviewer,case:primary-s04-r
primary-s05-p,94f45228b6b7493810f3b96b9498fe88619a76b61af42d13ef790fe6f5fa3c31,planning,ai_reviewed,delegated_ai_reviewer,case:primary-s05-p
primary-s05-i,25ad2edb2c87971442b4052c7181cf7e8186bcacb6e646064b66f774447369e4,intervention,ai_reviewed,delegated_ai_reviewer,case:primary-s05-i
primary-s05-a,8dd35bf8be46562d55f7fab1ef11d0adb312d1ec0b59e3a1a1be23f8eccd847c,assessment,ai_reviewed,delegated_ai_reviewer,case:primary-s05-a
primary-s05-r,43e7db2f316e24559f16e0e154e5fec9207d30f899717d4b3f43269653459e41,revision,ai_reviewed,delegated_ai_reviewer,case:primary-s05-r
primary-s06-p,d938119f1baf14ad18a2fea2287be9710238851eb18c665dd2914b9e9b3f4302,planning,ai_reviewed,delegated_ai_reviewer,case:primary-s06-p
primary-s06-i,3e295fad0a33ff21a8ed3c75b4294b73d973404b66bd974f52a7d5e8a71f1d08,intervention,ai_reviewed,delegated_ai_reviewer,case:primary-s06-i
primary-s06-a,266a63a03e964fae151cef330ff500bfadb9226d367279a5bbbb33186a54043a,assessment,ai_reviewed,delegated_ai_reviewer,case:primary-s06-a
primary-s06-r,21f02a153ee63a6b9107bd21ffb35ac338b525bd9d01a691a631743cf5c044ca,revision,ai_reviewed,delegated_ai_reviewer,case:primary-s06-r
primary-s07-p,dec7aab27336b6017083d507292b75640c140b7f7f5028079357348966a0fdc5,planning,ai_reviewed,delegated_ai_reviewer,case:primary-s07-p
primary-s07-i,a7115a90cb3b3902a112987f3ac79e1a54d6f8593ea42e30ceb074c100e8f03d,intervention,ai_reviewed,delegated_ai_reviewer,case:primary-s07-i
primary-s07-a,05e69cac25cb184a2f67c36d0e6ae0497f6418af15180f1b5866a3a4b740fba9,assessment,ai_reviewed,delegated_ai_reviewer,case:primary-s07-a
primary-s07-r,d69af4435c5d865d6acdb50ea068d6ce353ff138bdb5266f3e416752a459e4e4,revision,ai_reviewed,delegated_ai_reviewer,case:primary-s07-r
primary-s08-p,5ec45458695ffb405315cc62c6840009410ef42f223ff5b8fa582edb76630941,planning,ai_reviewed,delegated_ai_reviewer,case:primary-s08-p
primary-s08-i,ced91fbcd1ab256ac862fc66503a6396e4b84db8a5925077f5277f4c002178cd,intervention,ai_reviewed,delegated_ai_reviewer,case:primary-s08-i
primary-s08-a,b9ea9df14b708431fba9bc8e8ab37a05da8aef125833e51cb9ea2710a14cf155,assessment,ai_reviewed,delegated_ai_reviewer,case:primary-s08-a
primary-s08-r,914dc122fdaaaa8c47619f3b2c60da31b1696532c56b941550072a1087fb9bef,revision,ai_reviewed,delegated_ai_reviewer,case:primary-s08-r
primary-s09-p,572c1c804111d7f980dd78969d2c3ef2c29d59c320988ab6f851f3cfd95ca7a3,planning,ai_reviewed,delegated_ai_reviewer,case:primary-s09-p
primary-s09-i,a08368f28c952e7d73288b015b78851d152a34f49a014d5ccde17a6177ee9fe2,intervention,ai_reviewed,delegated_ai_reviewer,case:primary-s09-i
primary-s09-a,1e20afbe127d6bfb40eb82d5f4ef0a5ba341b2cb3990852abf557c80a2639f2a,assessment,ai_reviewed,delegated_ai_reviewer,case:primary-s09-a
primary-s09-r,dc71ca0c8087e0d3836ad7d76fbff48310c3c9926c315bc9f9bc2a15ee075e9d,revision,ai_reviewed,delegated_ai_reviewer,case:primary-s09-r
primary-s10-p,4cdc619df3c58fbef870c76ef365f2872afeb9976515e5829f915b04d40d5441,planning,ai_reviewed,delegated_ai_reviewer,case:primary-s10-p
primary-s10-i,b08863769a11f1de9e4f4f9ccbae731fc26dc7ee49681b4c9d63b1c005bd01f7,intervention,ai_reviewed,delegated_ai_reviewer,case:primary-s10-i
primary-s10-a,585af1870e1fe4455dd598a4b729c5991fa9ed3892ba2f135017d3ad9bfc9b4c,assessment,ai_reviewed,delegated_ai_reviewer,case:primary-s10-a
primary-s10-r,5d4283561918cb76a87716ec179f34ba201f96a05e8b986c34b4a34267abccbb,revision,ai_reviewed,delegated_ai_reviewer,case:primary-s10-r
primary-s11-p,b0b259acc44c0418262d1e16662e8474b819360fb58f581672d83ee1c682ac5d,planning,ai_reviewed,delegated_ai_reviewer,case:primary-s11-p
primary-s11-i,9050017ee68aa8253340d6722d6da98cd41dac4ed3ceb399889fa92bdfa0a8a9,intervention,ai_reviewed,delegated_ai_reviewer,case:primary-s11-i
primary-s11-a,d8c723e892b282a2ea26f878ce724fe3b02584d72df623dae9a1308d72233c9d,assessment,ai_reviewed,delegated_ai_reviewer,case:primary-s11-a
primary-s11-r,d42a0305a0c9a6d76637182a3017e328652111b88c2f34348f5500ed86c0e298,revision,ai_reviewed,delegated_ai_reviewer,case:primary-s11-r
primary-s12-p,894e2ca2a84630c7f82dde7ffde71e374565ae85dcbed07919464bc689925caf,planning,ai_reviewed,delegated_ai_reviewer,case:primary-s12-p
primary-s12-i,36b504dc71216fe6edff42f4b57a81258209c8144ab28aef83b6f3c1db603ac8,intervention,ai_reviewed,delegated_ai_reviewer,case:primary-s12-i
primary-s12-a,39aebd102dec045bdd854babcf8c02219028d16cbb25cc204b4d361770f93ee6,assessment,ai_reviewed,delegated_ai_reviewer,case:primary-s12-a
primary-s12-r,c2bb0868aac2a3fc45b01a5c5af5ad9761e1456a4f05c1b4b937ed92715e349d,revision,ai_reviewed,delegated_ai_reviewer,case:primary-s12-r
calibration-c01-p-good,231f78f2e1be1f6eb8430715aa02c830860f6a77cc483f5c1ab3646e41f8417e,planning,ai_reviewed,delegated_ai_reviewer,case:calibration-c01-p-good
calibration-c01-p-mild,e860f373725428b2ed55ed8ec1ff271132c68f64e15295ac1c132711508f0448,planning,ai_reviewed,delegated_ai_reviewer,case:calibration-c01-p-mild
calibration-c01-p-severe,8ae3dd759111a940bae4fb14906c75f22dc6015491b85fd481bf51ddc656b768,planning,ai_reviewed,delegated_ai_reviewer,case:calibration-c01-p-severe
calibration-c02-p-good,b97b23f3e3e7fdfc12275704caa6560115d2750752d5405fbbc7132157bf4f95,planning,ai_reviewed,delegated_ai_reviewer,case:calibration-c02-p-good
calibration-c02-p-mild,f02ae935dcde98d400092fcca44e812e3d8e591e67daa261b0565642002b45fa,planning,ai_reviewed,delegated_ai_reviewer,case:calibration-c02-p-mild
calibration-c02-p-severe,a0e249edfba330ed63c9224d689931b7a68901ef8d2dc1738edf9646bd65fba7,planning,ai_reviewed,delegated_ai_reviewer,case:calibration-c02-p-severe
calibration-c03-i-good,4fa64e978c5d6566955c03725c6d816fe4d339d37e0dfcb40057883977d55c7b,intervention,ai_reviewed,delegated_ai_reviewer,case:calibration-c03-i-good
calibration-c03-i-mild,11e4eadf17b89bee4e18d6e3aac16b3420cc3f52649e0f5767b82b18b593923f,intervention,ai_reviewed,delegated_ai_reviewer,case:calibration-c03-i-mild
calibration-c03-i-severe,23bdaf24fe72b1dc5c95b6cb22f1e10a65f64325a9876a7512005b3199fed872,intervention,ai_reviewed,delegated_ai_reviewer,case:calibration-c03-i-severe
calibration-c04-i-good,3a3feba25ed942cda7769cfef3b574f56875b39bdf3909f26ff0145ad7bcb92d,intervention,ai_reviewed,delegated_ai_reviewer,case:calibration-c04-i-good
calibration-c04-i-mild,84d0d9013aa13958a3b2a754cdbf521d6298fecca2e682c6a034a23ec4f8847d,intervention,ai_reviewed,delegated_ai_reviewer,case:calibration-c04-i-mild
calibration-c04-i-severe,ddad97925482d27d9525bb60801f2b24ca684ec58d155e43631b802e990fa4ad,intervention,ai_reviewed,delegated_ai_reviewer,case:calibration-c04-i-severe
calibration-c05-a-good,b789b890d299968d6871ec126605b3ecb41b18092096dff71df86614f6ea3b6d,assessment,ai_reviewed,delegated_ai_reviewer,case:calibration-c05-a-good
calibration-c05-a-mild,48a6cf4f85e6e279daf4888cce108bd20fb3e43c37af512d9ca4bd32bd95d12b,assessment,ai_reviewed,delegated_ai_reviewer,case:calibration-c05-a-mild
calibration-c05-a-severe,5c4758b5ff1f54bf597ab9ed8ff5aa32deb2dc913697e367ffcd48225037f314,assessment,ai_reviewed,delegated_ai_reviewer,case:calibration-c05-a-severe
