group,name,repeat,valid,good,mild,severe,strict_raw,strict_final,good_above_severe
quality-01,CSV项目的复习截止,1,True,100,75,37.5,True,True,True
quality-01,CSV项目的复习截止,2,True,100,75,32.5,True,True,True
quality-01,CSV项目的复习截止,3,True,100,75,40,True,True,True
quality-02,二分查找的闭区间更新,1,True,100,77.5,42.5,True,True,True
quality-02,二分查找的闭区间更新,2,True,100,77.5,42.5,True,True,True
quality-02,二分查找的闭区间更新,3,True,100,77.5,32.5,True,True,True
quality-03,提醒冷却的剩余时间,1,True,100,92.5,37.5,True,True,True
quality-03,提醒冷却的剩余时间,2,True,100,85,45,True,True,True
quality-03,提醒冷却的剩余时间,3,True,100,92.5,52.5,True,True,True
quality-04,跨午夜的免打扰,1,True,100,92.5,100,False,False,False
quality-04,跨午夜的免打扰,2,True,100,92.5,35,True,True,True
quality-04,跨午夜的免打扰,3,True,100,80,22.5,True,True,True
quality-05,去重函数的失败输入,1,True,100,70,30,True,True,True
quality-05,去重函数的失败输入,2,True,100,70,30,True,True,True
quality-05,去重函数的失败输入,3,True,100,60,20,True,True,True
quality-06,配置解析器的异常证据,1,True,100,62.5,10,True,True,True
quality-06,配置解析器的异常证据,2,True,100,62.5,10,True,True,True
quality-06,配置解析器的异常证据,3,True,100,80,10,True,True,True
quality-07,减少预算后的撤销语义,1,True,100,87.5,20,True,True,True
quality-07,减少预算后的撤销语义,2,True,100,92.5,20,True,True,True
quality-07,减少预算后的撤销语义,3,True,100,87.5,15,True,True,True
quality-08,找不到上月安排时的澄清,1,True,100,70,0,True,True,True
quality-08,找不到上月安排时的澄清,2,True,100,80,2.5,True,True,True
quality-08,找不到上月安排时的澄清,3,True,100,70,10,True,True,True
