part,track,dimension,name,valid,mean_level
application,planning,D1,事实与内容正确性,12,1.3333333333333333
application,planning,D2,学习目标与需求,12,2
application,planning,D3,行动选择与时机,12,2
application,planning,D4,约束与用户控制,12,2
application,planning,D5,结果可用性,12,2
application,planning,D6,行动适度与副作用,12,2
application,planning,D7,解释与下一步,12,2
application,intervention,D1,事实与内容正确性,12,1.9166666666666667
application,intervention,D2,学习目标与需求,12,2
application,intervention,D3,行动选择与时机,12,1.9166666666666667
application,intervention,D4,约束与用户控制,12,2
application,intervention,D5,结果可用性,12,2
application,intervention,D6,行动适度与副作用,12,1.9166666666666667
application,intervention,D7,解释与下一步,12,2
application,assessment,D1,事实与内容正确性,12,2
application,assessment,D2,学习目标与需求,12,2
application,assessment,D3,行动选择与时机,12,2
application,assessment,D4,约束与用户控制,12,2
application,assessment,D5,结果可用性,12,2
application,assessment,D6,行动适度与副作用,12,2
application,assessment,D7,解释与下一步,12,2
application,revision,D1,事实与内容正确性,12,2
application,revision,D2,学习目标与需求,12,2
application,revision,D3,行动选择与时机,12,2
application,revision,D4,约束与用户控制,12,2
application,revision,D5,结果可用性,12,2
application,revision,D6,行动适度与副作用,12,2
application,revision,D7,解释与下一步,12,2
quality,planning,D1,事实与内容正确性,18,1.1111111111111112
quality,planning,D2,学习目标与需求,18,1.7222222222222223
quality,planning,D3,行动选择与时机,18,1.6111111111111112
quality,planning,D4,约束与用户控制,18,1.3888888888888888
quality,planning,D5,结果可用性,18,1.1111111111111112
quality,planning,D6,行动适度与副作用,18,1.8333333333333333
quality,planning,D7,解释与下一步,18,1.4444444444444444
quality,intervention,D1,事实与内容正确性,18,1.6666666666666667
quality,intervention,D2,学习目标与需求,18,1.8888888888888888
quality,intervention,D3,行动选择与时机,18,1.4444444444444444
quality,intervention,D4,约束与用户控制,18,1.4444444444444444
quality,intervention,D5,结果可用性,18,1.5
quality,intervention,D6,行动适度与副作用,18,1.6666666666666667
quality,intervention,D7,解释与下一步,18,1.6666666666666667
quality,assessment,D1,事实与内容正确性,18,1.0555555555555556
quality,assessment,D2,学习目标与需求,18,1.6666666666666667
quality,assessment,D3,行动选择与时机,18,1.1666666666666667
quality,assessment,D4,约束与用户控制,18,1.2777777777777777
quality,assessment,D5,结果可用性,18,1
quality,assessment,D6,行动适度与副作用,18,1.8333333333333333
quality,assessment,D7,解释与下一步,18,1
quality,revision,D1,事实与内容正确性,18,1.5
quality,revision,D2,学习目标与需求,18,1.2222222222222223
quality,revision,D3,行动选择与时机,18,1.2222222222222223
quality,revision,D4,约束与用户控制,18,1.3333333333333333
quality,revision,D5,结果可用性,18,1.1666666666666667
quality,revision,D6,行动适度与副作用,18,1.4444444444444444
quality,revision,D7,解释与下一步,18,1.1666666666666667
adversarial,planning,D1,事实与内容正确性,2,0.5
adversarial,planning,D2,学习目标与需求,2,1.5
adversarial,planning,D3,行动选择与时机,2,0.5
adversarial,planning,D4,约束与用户控制,2,0.5
adversarial,planning,D5,结果可用性,2,0.5
adversarial,planning,D6,行动适度与副作用,2,1.5
adversarial,planning,D7,解释与下一步,2,0
adversarial,intervention,D1,事实与内容正确性,2,2
adversarial,intervention,D2,学习目标与需求,2,1
adversarial,intervention,D3,行动选择与时机,2,0.5
adversarial,intervention,D4,约束与用户控制,2,0.5
adversarial,intervention,D5,结果可用性,2,1
adversarial,intervention,D6,行动适度与副作用,2,0.5
adversarial,intervention,D7,解释与下一步,2,0.5
adversarial,assessment,D1,事实与内容正确性,2,0
adversarial,assessment,D2,学习目标与需求,2,1
adversarial,assessment,D3,行动选择与时机,2,0
adversarial,assessment,D4,约束与用户控制,2,0
adversarial,assessment,D5,结果可用性,2,0
adversarial,assessment,D6,行动适度与副作用,2,2
adversarial,assessment,D7,解释与下一步,2,0
adversarial,revision,D1,事实与内容正确性,2,1
adversarial,revision,D2,学习目标与需求,2,0.5
adversarial,revision,D3,行动选择与时机,2,0
adversarial,revision,D4,约束与用户控制,2,0
