experiment,id,repeat,name,note,automatic_status,automatic_score,automatic_result_sha256,evidence_sha256,track,review_raw_score,review_score,review_outcome,review_severity,dimensions_changed,D1,D2,D3,D4,D5,D6,D7,review_finding
full,formal-i01-a,1,Luhn校验记录,逐项复算Luhn两串和70/71及空串；待批验收未写入，草案中的接受表述描述拟议判定。,complete,100,ffe424d245da082723b21c439cbeeea61ce15a6fff59097a8893ef8803ad3eda,5446e7ba966ca960bed2f10b87b9c25fd37d2d5ff2e140963abb0dfb48a64227,assessment,100.0,100.0,pass,none,False,2,2,2,2,2,2,2,
full,formal-i01-i,1,空档中的校验和提醒,按约定只发一条站内提醒，15:40非静默；末句邀请另作处理没有承诺可撤销。,complete,100,e2d2173a90b912292a80e38f28a1fd77a76512fc2687ddcee0828bb605e8d7c3,7d208771d53bbc5dabb0468e17c55b553714ff88f8e8b39ea8d550c93ee78f62,intervention,100.0,100.0,pass,none,False,2,2,2,2,2,2,2,
full,formal-i01-p,1,校验和计划的背景推断,4任务45+52+52+45=194，规则与复测清单可用；无依据称学习者未学过Luhn。,complete,92.5,5d5ab6932932d8f6e14e41064b5609160e82d961207acbf6784aa92cbaa3858a,25f1628a036fddc9812ff8c322af990607e302c5764e59983d45db86562308fb,planning,92.5,92.5,pass,minor,False,1,2,2,2,2,2,2,
full,formal-i01-r,1,只减校验和周时长,周时长97→77，版本2→3，撤销仅恢复业务值，没有错误承诺版本倒退。,complete,100,3059ed60285dcea135cdbf2ad8355e9286d9687eb0ccfa2ac4010cc61c533b0e,0795fd20ec714118bcb59a92425308e974a0d24b6e2a639a70e551c444fdad0c,revision,100.0,100.0,pass,none,False,2,2,2,2,2,2,2,
full,formal-i02-a,1,模幂的模一边界,"正确拒绝a7,e0,m1并要求同输入期望0复测；但在无代码时把失败定位为e0分支直接返回1，应作为可能原因。",complete,100,f85634424bb630bc9dc68d878e597fa57a3c99cf7c303ead582f8a939f0ea5f9,1e67ec3fa891869b5389790a3fcb2cf855675516c90d4917b58d59048532680b,assessment,92.5,92.5,pass,minor,True,1,2,2,2,2,2,2,
full,formal-i02-i,1,模幂提醒的冷却剩余,150分钟冷却已过30分钟，剩120分钟，最早04:50Z；等待且不改状态。,complete,100,b80be08eb7a7963c7cd4c890142c25e788f852563221a70d3eba4f8f2299818c,dc7987eef27fd430947623e42e0a8c43c848a473e8570d61409471eade4efdef,intervention,100.0,100.0,pass,none,False,2,2,2,2,2,2,2,
full,formal-i02-p,1,模幂计划的背景推断,模幂三例与快速/朴素对照有效，40+64+64+40=208；无依据称未接触模幂/数论。,complete,92.5,3036f88602a416525541731cf1b1d0d30400da65a5044235bceb609f7f045588,0b23d217eea1c1dd43533d548c54c2653b5efe381a2368461d07eb8f93118249,planning,92.5,92.5,pass,minor,False,1,2,2,2,2,2,2,
full,formal-i02-r,1,模幂安排无需修改,只读核对104分钟与原安排，未产生计划变更。,complete,100,d8e7f7378f4d7649141fd8e51739e68bceb81bf762e3cfaa642ee6c4c3861f59,87d887374152dba26750a537282bfa30b2d0b0dbd8bcdf8897864aa48477ee27,revision,100.0,100.0,pass,none,False,2,2,2,2,2,2,2,
full,formal-i03-a,1,杨辉三角缺少证据,缺代码和测试时索取材料，完整列n0/n4/负n标准且不把缺材料判失败。,complete,100,055cbb565742fdda40c62c16faaa18c2b337a43f4ba4a9e696930bad53058225,83941fc3b52b2b9b90cd87cb844559d6a0524ebf05708fc3481ffdf4f0ff65b5,assessment,100.0,100.0,pass,none,False,2,2,2,2,2,2,2,
full,formal-i03-i,1,午夜前的杨辉三角提醒,23:40位于跨午夜静默窗，等次日08:00再评估，不投递。,complete,100,46baf9a5617db1d5380c5f3bed08ba5db0e93e8f86c900996c0e4a58b5adea63,97508ef8dfb185d4f1068b15bf83f4c3c6cec7217c01ab59b9de03abd27f7ea2,intervention,100.0,100.0,pass,none,False,2,2,2,2,2,2,2,
