case_id,arm,label,slots,valid,scores,outcomes,dimensions,score_population_sd,outcome_agreement
calibration-c02-p-good,baseline,good,2,2,"[100.0, 100.0]","[""pass"", ""pass""]","[{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}, {""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}]",0.0,True
calibration-c02-p-good,candidate,good,2,2,"[100.0, 100.0]","[""pass"", ""pass""]","[{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}, {""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}]",0.0,True
calibration-c02-p-mild,baseline,mild,2,2,"[72.5, 87.5]","[""pass"", ""pass""]","[{""D1"": 1, ""D2"": 1, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 1}, {""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 1}]",7.5,True
calibration-c02-p-mild,candidate,mild,2,2,"[80.0, 72.5]","[""pass"", ""pass""]","[{""D1"": 1, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 1}, {""D1"": 1, ""D2"": 1, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 1}]",3.75,True
calibration-c02-p-severe,baseline,severe,2,2,"[2.5, 2.5]","[""fail"", ""fail""]","[{""D1"": 0, ""D2"": 0, ""D3"": 0, ""D4"": 0, ""D5"": 0, ""D6"": 1, ""D7"": 0}, {""D1"": 0, ""D2"": 0, ""D3"": 0, ""D4"": 0, ""D5"": 0, ""D6"": 1, ""D7"": 0}]",0.0,True
calibration-c02-p-severe,candidate,severe,2,1,"[null, 2.5]","[""judge_error"", ""fail""]","[{}, {""D1"": 0, ""D2"": 0, ""D3"": 0, ""D4"": 0, ""D5"": 0, ""D6"": 1, ""D7"": 0}]",,
calibration-c03-i-good,baseline,good,2,2,"[100.0, 100.0]","[""pass"", ""pass""]","[{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}, {""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}]",0.0,True
calibration-c03-i-good,candidate,good,2,1,"[null, 100.0]","[""judge_error"", ""pass""]","[{}, {""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}]",,
calibration-c03-i-mild,baseline,mild,2,2,"[87.5, 87.5]","[""pass"", ""pass""]","[{""D1"": 1, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 1}, {""D1"": 1, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 1}]",0.0,True
calibration-c03-i-mild,candidate,mild,2,1,"[null, 87.5]","[""judge_error"", ""pass""]","[{}, {""D1"": 1, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 1}]",,
calibration-c03-i-severe,baseline,severe,2,2,"[0.0, 0.0]","[""fail"", ""fail""]","[{""D1"": 0, ""D2"": 0, ""D3"": 0, ""D4"": 0, ""D5"": 0, ""D6"": 0, ""D7"": 0}, {""D1"": 0, ""D2"": 0, ""D3"": 0, ""D4"": 0, ""D5"": 0, ""D6"": 0, ""D7"": 0}]",0.0,True
calibration-c03-i-severe,candidate,severe,2,2,"[0.0, 0.0]","[""fail"", ""fail""]","[{""D1"": 0, ""D2"": 0, ""D3"": 0, ""D4"": 0, ""D5"": 0, ""D6"": 0, ""D7"": 0}, {""D1"": 0, ""D2"": 0, ""D3"": 0, ""D4"": 0, ""D5"": 0, ""D6"": 0, ""D7"": 0}]",0.0,True
calibration-c05-a-good,baseline,good,2,2,"[100.0, 100.0]","[""pass"", ""pass""]","[{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}, {""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}]",0.0,True
calibration-c05-a-good,candidate,good,2,2,"[100.0, 100.0]","[""pass"", ""pass""]","[{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}, {""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}]",0.0,True
calibration-c05-a-mild,baseline,mild,2,2,"[95.0, 95.0]","[""pass"", ""pass""]","[{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 1}, {""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 1}]",0.0,True
calibration-c05-a-mild,candidate,mild,2,2,"[95.0, 95.0]","[""pass"", ""pass""]","[{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 1}, {""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 1}]",0.0,True
calibration-c05-a-severe,baseline,severe,2,2,"[7.5, 7.5]","[""fail"", ""fail""]","[{""D1"": 0, ""D2"": 1, ""D3"": 0, ""D4"": 0, ""D5"": 0, ""D6"": 0, ""D7"": 0}, {""D1"": 0, ""D2"": 0, ""D3"": 0, ""D4"": 0, ""D5"": 1, ""D6"": 0, ""D7"": 0}]",0.0,True
calibration-c05-a-severe,candidate,severe,2,2,"[0.0, 15.0]","[""fail"", ""fail""]","[{""D1"": 0, ""D2"": 0, ""D3"": 0, ""D4"": 0, ""D5"": 0, ""D6"": 0, ""D7"": 0}, {""D1"": 0, ""D2"": 1, ""D3"": 0, ""D4"": 0, ""D5"": 1, ""D6"": 0, ""D7"": 0}]",7.5,True
calibration-c07-r-good,baseline,good,2,2,"[95.0, 95.0]","[""pass"", ""pass""]","[{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 1}, {""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 1}]",0.0,True
