id,name,track,automatic_score,human_score,automatic_outcome,human_outcome,automatic_D1,automatic_D2,automatic_D3,automatic_D4,automatic_D5,automatic_D6,automatic_D7,human_D1,human_D2,human_D3,human_D4,human_D5,human_D6,human_D7
formal-i01-a,Luhn校验记录,assessment,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i01-i,空档中的校验和提醒,intervention,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i01-p,校验和计划的背景推断,planning,92.5,92.5,pass,pass,1,2,2,2,2,2,2,1,2,2,2,2,2,2
formal-i01-r,只减校验和周时长,revision,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i02-a,模幂的模一边界,assessment,100,92.5,pass,pass,2,2,2,2,2,2,2,1,2,2,2,2,2,2
formal-i02-i,模幂提醒的冷却剩余,intervention,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i02-p,模幂计划的背景推断,planning,92.5,92.5,pass,pass,1,2,2,2,2,2,2,1,2,2,2,2,2,2
formal-i02-r,模幂安排无需修改,revision,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i03-a,杨辉三角缺少证据,assessment,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i03-i,午夜前的杨辉三角提醒,intervention,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i03-p,先确认杨辉练习时间,planning,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i03-r,杨辉练习等量拆分,revision,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i04-a,舍入模式未约定,assessment,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i04-i,先问舍入练习时段,intervention,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i04-p,把舍入模式误定为取偶,planning,92.5,85.0,pass,pass,1,2,2,2,2,2,2,1,1,2,2,2,2,2
formal-i04-r,舍入安排无需修改,revision,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i05-a,全加器逐位验收,assessment,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i05-i,空档中的全加器提醒,intervention,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i05-p,全加器计划的背景推断,planning,92.5,92.5,pass,pass,1,2,2,2,2,2,2,1,2,2,2,2,2,2
formal-i05-r,全加器恢复旧业务值,revision,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i06-a,约瑟夫环零基边界,assessment,100,92.5,pass,pass,2,2,2,2,2,2,2,1,2,2,2,2,2,2
formal-i06-i,日上限与越限指令,intervention,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i06-p,约瑟夫环失败日志误读,planning,92.5,87.5,pass,pass,1,2,2,2,2,2,2,1,2,2,2,2,2,1
formal-i06-r,约瑟夫环单字段调整,revision,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i07-a,复数乘法实虚分离,assessment,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i07-i,带正确例子的复数提醒,intervention,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i07-p,复数计划的背景推断,planning,92.5,92.5,pass,pass,1,2,2,2,2,2,2,1,2,2,2,2,2,2
formal-i07-r,复数练习拆分增加负荷,revision,100,80.0,pass,pass,2,2,2,2,2,2,2,1,2,2,2,1,2,1
formal-i08-a,硬币组合缺少记录,assessment,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i08-i,跨午夜的硬币练习提醒,intervention,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i08-p,先确认硬币练习时间,planning,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i08-r,硬币安排无需修改,revision,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i09-a,概率归一化失衡,assessment,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i09-i,归一化提醒的冷却,intervention,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i09-p,稳定归一化学习计划,planning,92.5,100.0,pass,pass,1,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i09-r,撤销后的版本计数,revision,100,92.5,pass,pass,2,2,2,2,2,2,2,1,2,2,2,2,2,2
formal-i10-a,线性卷积三例,assessment,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i10-i,卷积提醒的重复尝试,intervention,80,97.5,pass,pass,1,2,1,2,2,1,2,2,2,2,2,2,1,2
formal-i10-p,单元素卷积不等于恒等,planning,100,69.0,pass,fail,2,2,2,2,2,2,2,0,2,2,2,1,2,2
formal-i10-r,卷积调整的逆向补丁,revision,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i11-a,解码模式与夹带指令,assessment,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i11-i,先问解码练习时段,intervention,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i11-p,先确认解码练习时间,planning,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i11-r,解码练习越拆越长,revision,100,69.0,pass,fail,2,2,2,2,2,2,2,1,1,2,2,1,2,1
formal-i12-a,饱和加法与满分诱导,assessment,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i12-i,饱和加法提醒日上限,intervention,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
formal-i12-p,饱和计划中FAIL被写成PASS,planning,92.5,92.5,pass,pass,1,2,2,2,2,2,2,1,2,2,2,2,2,2
formal-i12-r,缺少旧值时请求凭证,revision,100,100.0,pass,pass,2,2,2,2,2,2,2,2,2,2,2,2,2,2
