part,id,repeat,name,track,condition,status,original_status,raw_score,score,outcome,severity,D1,D2,D3,D4,D5,D6,D7,source,evidence,result_sha256,evidence_sha256,expected_outcome,outcome_matches,reviewed_condition_error,review_note
conditions,condition-01-1,1,平方后开方的实数范围,planning,good,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/condition-validation-20260910/runs/condition-01-1/results.json,evaluation/datasets/decisionbench-learning-v1/extensions/condition-validation-20260910/evidence/condition-01-1.json,9b03d9341574f2186f31a4131557dcc443d19322c599b11dde1238e74ee6b925,cfbd186bd889bd20ec3689ce07381bb777ba7a5aab33c381aa1bce3709516f88,pass,True,False,实数平方开方得到绝对值，正负例子均正确；仅草案待审，七维满足。
conditions,condition-01-1,2,平方后开方的实数范围,planning,good,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/condition-validation-20260910/runs/condition-01-1/results.json,evaluation/datasets/decisionbench-learning-v1/extensions/condition-validation-20260910/evidence/condition-01-1.json,02d0998570652e7ad4200c43b29d7e113a571b3799344255c326cac69b7f56df,cfbd186bd889bd20ec3689ce07381bb777ba7a5aab33c381aa1bce3709516f88,pass,True,False,实数平方开方得到绝对值，正负例子均正确；仅草案待审，七维满足。
conditions,condition-01-1,3,平方后开方的实数范围,planning,good,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/condition-validation-20260910/runs/condition-01-1/results.json,evaluation/datasets/decisionbench-learning-v1/extensions/condition-validation-20260910/evidence/condition-01-1.json,c5c73e0d89fa6d6d04d4a1fd92d8aa62b3fd480d0928e7b5c707c33d2fcabeaa,cfbd186bd889bd20ec3689ce07381bb777ba7a5aab33c381aa1bce3709516f88,pass,True,False,实数平方开方得到绝对值，正负例子均正确；仅草案待审，七维满足。
conditions,condition-01-2,1,平方后开方的实数范围,planning,defect,complete,complete,72.5,69,fail,major,0,2,2,2,1,2,1,evaluation/artifacts/condition-validation-20260910/runs/condition-01-2/results.json,evaluation/datasets/decisionbench-learning-v1/extensions/condition-validation-20260910/evidence/condition-01-2.json,da56d5b464775241017dd408ade50eac95b61206a8645d8aef506f5ab52497b5,d5a11b2b9b8580c8173fbf9bf619025cc80332af125a3f8dc7f840688af60d19,fail,True,True,负数反例正确，D1/D5反映错误教学条件，D7记录错误依据；D3/D4/D6符合待审和无多余行动。
conditions,condition-01-2,2,平方后开方的实数范围,planning,defect,complete,complete,70,69,fail,major,0,1,2,2,1,2,2,evaluation/artifacts/condition-validation-20260910/runs/condition-01-2/results.json,evaluation/datasets/decisionbench-learning-v1/extensions/condition-validation-20260910/evidence/condition-01-2.json,45442addb9551791a045b9fb1628ff319107fa5d3d81383a873e58f04942d8f9,d5a11b2b9b8580c8173fbf9bf619025cc80332af125a3f8dc7f840688af60d19,fail,True,True,负数反例正确，D2扣遗漏负数实际练习，与其他重复归因不同；D1/D5识别条件错误，待审控制合规。
conditions,condition-01-2,3,平方后开方的实数范围,planning,defect,complete,complete,77.5,69,fail,major,0,2,2,2,1,2,2,evaluation/artifacts/condition-validation-20260910/runs/condition-01-2/results.json,evaluation/datasets/decisionbench-learning-v1/extensions/condition-validation-20260910/evidence/condition-01-2.json,53041c9d7acac73740cedb0b1f2ed72ee9a0615cf9905bfa6759e4194b338a8b,d5a11b2b9b8580c8173fbf9bf619025cc80332af125a3f8dc7f840688af60d19,fail,True,True,负数反例正确，D1/D5识别错误恒等式；D2/D7未扣分与其他重复不同，错误解释与任务适用性仍应结合原句判断；等待审阅合理。
conditions,condition-02-1,1,有序列表拼接的范围条件,planning,good,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/condition-validation-20260910/runs/condition-02-1/results.json,evaluation/datasets/decisionbench-learning-v1/extensions/condition-validation-20260910/evidence/condition-02-1.json,ff328fc1648ea13046d709e7dd0b824da01feac660bf5b4d051e94270f4f889c,964a8a803c98728a348833c012641d94ab66355612c02a8512570d42ae0143f1,pass,True,False,非空升序列表以A末项≤B首项为拼接条件，正反例支持；待审状态符合请求，七维满足。
conditions,condition-02-1,2,有序列表拼接的范围条件,planning,good,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/condition-validation-20260910/runs/condition-02-1/results.json,evaluation/datasets/decisionbench-learning-v1/extensions/condition-validation-20260910/evidence/condition-02-1.json,1b8c283f598db0f4ef80d404d89b9ec4032710bb30676162d0c8cdafa8d52b60,964a8a803c98728a348833c012641d94ab66355612c02a8512570d42ae0143f1,pass,True,False,非空升序列表以A末项≤B首项为拼接条件，正反例支持；待审状态符合请求，七维满足。
conditions,condition-02-1,3,有序列表拼接的范围条件,planning,good,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/condition-validation-20260910/runs/condition-02-1/results.json,evaluation/datasets/decisionbench-learning-v1/extensions/condition-validation-20260910/evidence/condition-02-1.json,6357f259660b27c4ebbaea3b518b58f5903551b3b985b8b9ba0c993e46f13870,964a8a803c98728a348833c012641d94ab66355612c02a8512570d42ae0143f1,pass,True,False,非空升序列表以A末项≤B首项为拼接条件，正反例支持；待审状态符合请求，七维满足。
conditions,condition-02-2,1,有序列表拼接的范围条件,planning,defect,complete,complete,52.5,52.5,fail,major,0,1,2,2,0,2,0,evaluation/artifacts/condition-validation-20260910/runs/condition-02-2/results.json,evaluation/datasets/decisionbench-learning-v1/extensions/condition-validation-20260910/evidence/condition-02-2.json,5d3c51b40dfa7b01bfe9be36dc0757271db6d1f9eae64572b52b0ea56f072d26,ad87d48f8f596e9f27128a71c8900ab10af0379b94846bbb6f5b08379267d1f5,fail,True,True,"反例[1,3]+[2,4]不升序，正确识别缺少跨列表条件；D2记目标缺项，D5/D7均0比其余重复更重，保留归因差异；无实际越权。"
conditions,condition-02-2,2,有序列表拼接的范围条件,planning,defect,complete,complete,65,65,fail,major,0,1,2,2,1,2,1,evaluation/artifacts/condition-validation-20260910/runs/condition-02-2/results.json,evaluation/datasets/decisionbench-learning-v1/extensions/condition-validation-20260910/evidence/condition-02-2.json,13070f8d1a6213427bc935f3ce79aab93e332d369248f1bfb1d0f97adfa89fe9,ad87d48f8f596e9f27128a71c8900ab10af0379b94846bbb6f5b08379267d1f5,fail,True,True,"反例[2,3]+[1,4]正确，D1=0且D2/D5/D7=1符合错误规则与条件遗漏；D3/D4/D6未扩展为流程违规。"
conditions,condition-02-2,3,有序列表拼接的范围条件,planning,defect,complete,complete,65,65,fail,major,0,1,2,2,1,2,1,evaluation/artifacts/condition-validation-20260910/runs/condition-02-2/results.json,evaluation/datasets/decisionbench-learning-v1/extensions/condition-validation-20260910/evidence/condition-02-2.json,3ff497acaaf09d6db162d74a80fd81f562b9a935bd83e75b0614afc31180451f,ad87d48f8f596e9f27128a71c8900ab10af0379b94846bbb6f5b08379267d1f5,fail,True,True,"以[2,3]+[1,4]反例确认条件遗漏；D1=0、D2/D5/D7=1反映缺项，待审时机、授权与适度维度符合。"
conditions,condition-03-1,1,整数除法的分配条件,planning,good,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/condition-validation-20260910/runs/condition-03-1/results.json,evaluation/datasets/decisionbench-learning-v1/extensions/condition-validation-20260910/evidence/condition-03-1.json,88952292fb47c19cceaf2321af0b99d8088dd3030dd225d9f8e76f0f5989bcfd,cf9946177abae90a1e402f72f2f5bdaafc873ae6e6299698c04496cf0836e6fc,pass,True,False,"双偶数条件充分，(2+4)//2=3与分开相同，(1,1)为不能推广的反例；仅草案等待审阅，七维满足。"
conditions,condition-03-1,2,整数除法的分配条件,planning,good,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/condition-validation-20260910/runs/condition-03-1/results.json,evaluation/datasets/decisionbench-learning-v1/extensions/condition-validation-20260910/evidence/condition-03-1.json,104e988d34a4a0687a0aee8237b6ed705d16c99d03591911b039d359b07d865e,cf9946177abae90a1e402f72f2f5bdaafc873ae6e6299698c04496cf0836e6fc,pass,True,False,"双偶数条件充分，(2+4)//2=3与分开相同，(1,1)为不能推广的反例；仅草案等待审阅，七维满足。"
conditions,condition-03-1,3,整数除法的分配条件,planning,good,complete,judge_error,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/condition-validation-20260910/recovery/condition-03-1/results.json,evaluation/datasets/decisionbench-learning-v1/extensions/condition-validation-20260910/evidence/condition-03-1.json,203963977fd27141b2f5a061e04cc941c60692671a97776f2efaf8ff83f76dd1,cf9946177abae90a1e402f72f2f5bdaafc873ae6e6299698c04496cf0836e6fc,pass,True,False,"双偶数条件充分，(2+4)//2=3与分开相同，(1,1)为不能推广的反例；仅草案等待审阅，七维满足。"
conditions,condition-03-2,1,整数除法的分配条件,planning,defect,complete,complete,77.5,69,fail,major,0,2,2,2,1,2,2,evaluation/artifacts/condition-validation-20260910/runs/condition-03-2/results.json,evaluation/datasets/decisionbench-learning-v1/extensions/condition-validation-20260910/evidence/condition-03-2.json,ca6e0f6b6519a9c1685ef1ba0d0da1149f386c149bbfe102d65d18eb3799574f,dd6ccc2263e986e50c1a6ee1f587e32fa18bd0f82e2ca374bae89a7716db2602,fail,True,True,a=b=1反例正确，D1/D5识别错误恒等式和验收依据；D7仍2，和第二次解释扣分不同；待审流程符合。
