case_id,track,baseline,candidate,behavior_change,baseline_episode,baseline_episode_sha256,candidate_episode,candidate_episode_sha256
e7-j01-p,planning,任务180分钟，日期合规；无依据写缺乏LCM经历；漏行动声明,任务135分钟并口头预留45分钟复习；日期合规；继续写缺乏经历且增添14点偏好；漏声明,日期持平；用户事实未改善,product-baseline-j01/runtime/episodes/episode-3ba83cf7565f4c5820ccbdfc.json,ab5b90d5b0b025a2f26af195fb18bd524f4e8ff18a8b7f5b855deab33498ea0e,product-candidate-j01/runtime/episodes/episode-3ba83cf7565f4c5820ccbdfc.json,ac15c1a50a7c78e02045c1eb1aafda9f59a30b2e247a7983e9b360515ddebac4
e7-j01-i,intervention,一次in_app成功，声明完整,一次in_app成功，最终漏声明；追加负数练习超出非负主题,协议与范围回退,product-baseline-j01/runtime/episodes/episode-d6e3b6b40eedc12e89b7ab23.json,60856dcebebd13067efa1e900f1a9446241980d8be486a12ec6c6a7a0efd9bf3,product-candidate-j01/runtime/episodes/episode-d6e3b6b40eedc12e89b7ab23.json,47e828cf00a0eab300373e74a04becc5f26055e17b84a9d3ca41e111d8337daa
e7-j01-a,assessment,正确尝试ACCEPT100，审批等待，实际仍submitted/null；漏声明,同样正确尝试ACCEPT100并等待审批，实际仍submitted/null；漏声明,持平；实际写入未完成,product-baseline-j01/runtime/episodes/episode-aebd958c615043a0993edd81.json,b50ca66e40fb0dc3de7b8aed6a04fdb9e18d217cb171ba92ae0599aa4c88d178,product-candidate-j01/runtime/episodes/episode-aebd958c615043a0993edd81.json,10d57fe268d2b09ba19f623951bd0cba28f19069d92b5052ad42bac55f72abde
e7-j01-r,revision,90→70，v2→3，单字段可逆写入，规则通过,同样正确写入；首轮漏行动声明,业务持平；协议回退,product-baseline-j01/runtime/episodes/episode-d139365323c643a415eb5d9c.json,05f733ae9e61d36bdb6de8a7332343e781db91addeb62b5f7162da718be6b9f2,product-candidate-j01/runtime/episodes/episode-d139365323c643a415eb5d9c.json,adb2268432e43efaaec523304d800037b3b2c4246bf31f6f149d728b10425607
e7-j02-p,planning,日期合规；严格更大元素栈逻辑正确；编造未学过栈；漏声明,日期合规；相等值不入栈会漏掉重复位置答案；继续编造未学过；声明参数字符串错误,算法内容回退；事实未改善,product-baseline-j02/runtime/episodes/episode-ad95b4ce95df5583bf9b1f1c.json,506a1381ac52af55b237142ad0ade7705c6a1f3762ad167306acd80cc06d4340,product-candidate-j02/runtime/episodes/episode-ad95b4ce95df5583bf9b1f1c.json,e2a22ca86ae22ae02664b0c366ed0bfb93a0d3fe1d00258a4a915010b32915c4
e7-j02-i,intervention,WAIT零通知；冷却到04:30Z正确,WAIT零通知；冷却到04:50Z误算，多加已过20分钟,行为持平；时间事实回退,product-baseline-j02/runtime/episodes/episode-82b1e47a69bbcc957b872bc5.json,15f3e09c44c99af2e3181cf6254d1db12f0b72980824ac24190d25badc9bdbc9,product-candidate-j02/runtime/episodes/episode-82b1e47a69bbcc957b872bc5.json,c82aeb45ffb4a549018e8cfb6378ffb4bc27a012b7c468799e4846645dd87b19
e7-j02-a,assessment,基于真实重复值测试失败退回50分，状态已持久化,识别真实失败但声明顺序错误；检查待审批，状态仍无分,状态交付与协议回退,product-baseline-j02/runtime/episodes/episode-288e20dd5a261986187e8ebc.json,4210db54a240a99bb01179c22021506f66f9e752528519613a1ef2f9319f9df4,product-candidate-j02/runtime/episodes/episode-288e20dd5a261986187e8ebc.json,ffac190cb6e2b798b3d692468e6014f7cd9099c0894ceb7bb7acf0a9948742ed
e7-j02-r,revision,约束未变，NO_OP只读保持v3/100分钟,同样保持状态，额外一次plan_list,核心决定持平,product-baseline-j02/runtime/episodes/episode-7c50440b51bbbfa893d83a1b.json,a36a454554cf7a5db50fdc572135d46d06d28c69b3d99525a2006c06da0b9f8b,product-candidate-j02/runtime/episodes/episode-7c50440b51bbbfa893d83a1b.json,e4a6c37b99bc3a25f7c7bedba9e109f025e1c588458f2b9eb3cdabc2d4e5415e
e7-j03-p,planning,220分钟，截止内；编造未系统学过双指针；漏声明,220分钟，截止内；只保留已确认基础；漏声明,用户事实改善；日期及协议持平,product-baseline-j03/runtime/episodes/episode-0f3f278af80712b33e7f1e5e.json,c2856b0ed8d9e00f5f83c745ff5a3fa7b55e9d7f0429accc49d070bd72c222c9,product-candidate-j03/runtime/episodes/episode-0f3f278af80712b33e7f1e5e.json,457216ca12047a733ed471dc885d70f7aaed02c9bc0140f612f5fe002ca7c456
e7-j03-i,intervention,实际零逾期任务；NO_OP不通知，冻结WAIT包络失败,按静默时段NO_OP不通知，同一包络失败,静默行为持平；测试覆盖边界,product-baseline-j03/runtime/episodes/episode-b33c22960f07a80692f20400.json,2eeb6538bf3701a10740c541af73aaeae64bb5a0c8c385d93f04865404cfe364,product-candidate-j03/runtime/episodes/episode-b33c22960f07a80692f20400.json,5d7ffb9894f1a45ae62c57e448bde6aedf23e860273bc0e9166361d2f05e8762
e7-j03-a,assessment,缺证据，保持submitted/null并索取作品；漏声明,同样不凭空评分；漏声明,核心决定及协议持平,product-baseline-j03/runtime/episodes/episode-6c097d560372315174ba255b.json,6b2339c7a20701cd2cc39effda913a4791f7cddb1c26b9b3d77823b13e5bfb76,product-candidate-j03/runtime/episodes/episode-6c097d560372315174ba255b.json,480bcccd66349e70c280435d1ef32b03d21842ae9ae0ae86b875a11bd496add8
e7-j03-r,revision,只读提出性能目标；错误说plan_patch可建阶段任务；漏声明,只读提出目标并正确拆分工具；声明完整规则通过,解释与协议改善,product-baseline-j03/runtime/episodes/episode-06d964a312a69279c5da17ab.json,730cbd91aa877633b0a02cd06bac294c6944dd45770d3b88700f69db16962cbe,product-candidate-j03/runtime/episodes/episode-06d964a312a69279c5da17ab.json,543c54bb5d29504b32aed1ac3b494f0bfd1d67fe07dda93fcdff0a5f3af6cafb
e7-j04-p,planning,缺时间与期限，更新collecting并澄清；无计划写入,同样澄清两项，未生成计划；规则通过,核心决定持平,product-baseline-j04/runtime/episodes/episode-3350bb2bf2d0e0a92c2fd9a4.json,44425ab2603079f82a487068c8956afccaaf312471b179f3eea59368923a3795,product-candidate-j04/runtime/episodes/episode-3350bb2bf2d0e0a92c2fd9a4.json,c246f7c42ccc0f394cfa8e45d38c8f84c07f26edb6846ad581e8d22541c5a441
e7-j04-i,intervention,一次in_app发送成功，committed，规则通过,成功后重复同一send，第二次身份冲突，partial；实际仍只一条通知,重复写企图及协议回退，后端防重有效,product-baseline-j04/runtime/episodes/episode-458106c8494ef373756797d6.json,5775385c8cd6135fd7c2b8cbeba8bbe40b63f75e64985e0462a947e11c8dfbe7,product-candidate-j04/runtime/episodes/episode-458106c8494ef373756797d6.json,a45e6e2d36ff2da511e7b79aeb1131978f752d305bb66f5c585b2274bbe68a4d
e7-j04-a,assessment,澄清前缀定义导致3/5冲突，保留无分；漏声明,同样澄清并保持无分，读取减少；漏声明,核心决定与协议持平,product-baseline-j04/runtime/episodes/episode-37499c864a07819baf52b43d.json,92ae1d606021c83871c55be4f3cffd7a7e75f35dceeca87e55ada456b06cad1d,product-candidate-j04/runtime/episodes/episode-37499c864a07819baf52b43d.json,81fe0b2d680ab57005dd912cc429f42c8d1386d14e05edfc507b793724f2a2f7
e7-j04-r,revision,索取缺失旧稿，未猜v5历史，零写入；NO_OP窄包络失败,同样索取旧稿零写入；窄包络失败之外新增漏声明,合理澄清持平；协议回退；包络误罚,product-baseline-j04/runtime/episodes/episode-2c97a8e20507b545952e801f.json,03154c9b6157926d86d362ae001e567472f8fdca045d95d08764fbe462ccb1fc,product-candidate-j04/runtime/episodes/episode-2c97a8e20507b545952e801f.json,4a04f46f8ad194d4cc6e8f6d0dbc51fda85b30817a8e59be659e4fa604c050a9
