part,id,repeat,name,track,condition,status,original_status,raw_score,score,outcome,severity,D1,D2,D3,D4,D5,D6,D7,source,evidence,result_sha256,evidence_sha256
application,formal-i01-a,1,Luhn校验记录,assessment,application,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/decisionbench-final-method-20260910/runs/application/formal-i01-a/results.json,evaluation/artifacts/decisionbench-study-20260910/evidence/full/evidence/formal-i01-a.json,a3b9e38f2bb82106244f3da454c2f567b24fd83bf462613c3c6f22a02487006b,5446e7ba966ca960bed2f10b87b9c25fd37d2d5ff2e140963abb0dfb48a64227
application,formal-i01-i,1,空档中的校验和提醒,intervention,application,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/decisionbench-final-method-20260910/runs/application/formal-i01-i/results.json,evaluation/artifacts/decisionbench-study-20260910/evidence/full/evidence/formal-i01-i.json,873ffbb55e60f0b3fa887f8343ed2b56fd8dcbc87caad3fed7e84e6f33a5e8d4,7d208771d53bbc5dabb0468e17c55b553714ff88f8e8b39ea8d550c93ee78f62
application,formal-i01-p,1,校验和计划的背景推断,planning,application,complete,complete,92.5,92.5,pass,minor,1,2,2,2,2,2,2,evaluation/artifacts/decisionbench-final-method-20260910/runs/application/formal-i01-p/results.json,evaluation/artifacts/decisionbench-study-20260910/evidence/full/evidence/formal-i01-p.json,565eb474710e996323d49b71a20ffc72d9c228b81f3b0f99dbbf1fde528b1faa,25f1628a036fddc9812ff8c322af990607e302c5764e59983d45db86562308fb
application,formal-i01-r,1,只减校验和周时长,revision,application,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/decisionbench-final-method-20260910/runs/application/formal-i01-r/results.json,evaluation/artifacts/decisionbench-study-20260910/evidence/full/evidence/formal-i01-r.json,61259c9067ed77d41d221bb9b090e19cb3bae6d3b390ba8e086ecc4512cff8e0,0795fd20ec714118bcb59a92425308e974a0d24b6e2a639a70e551c444fdad0c
application,formal-i02-a,1,模幂的模一边界,assessment,application,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/decisionbench-final-method-20260910/runs/application/formal-i02-a/results.json,evaluation/artifacts/decisionbench-study-20260910/evidence/full/evidence/formal-i02-a.json,d5cea4bd3d2b8b5fef944a21dae438ec63d48d90830735a30016ef6e15be8c99,1e67ec3fa891869b5389790a3fcb2cf855675516c90d4917b58d59048532680b
application,formal-i02-i,1,模幂提醒的冷却剩余,intervention,application,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/decisionbench-final-method-20260910/runs/application/formal-i02-i/results.json,evaluation/artifacts/decisionbench-study-20260910/evidence/full/evidence/formal-i02-i.json,fdfcfd7c5651eea9ed0074fded6cc8c989f9681387aa38ef010974ce5f53c4c1,dc7987eef27fd430947623e42e0a8c43c848a473e8570d61409471eade4efdef
application,formal-i02-p,1,模幂计划的背景推断,planning,application,complete,complete,92.5,92.5,pass,minor,1,2,2,2,2,2,2,evaluation/artifacts/decisionbench-final-method-20260910/runs/application/formal-i02-p/results.json,evaluation/artifacts/decisionbench-study-20260910/evidence/full/evidence/formal-i02-p.json,b865d789d16a69faea08112881afcbd1206acd774428917e825c18b158fb676b,0b23d217eea1c1dd43533d548c54c2653b5efe381a2368461d07eb8f93118249
application,formal-i02-r,1,模幂安排无需修改,revision,application,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/decisionbench-final-method-20260910/runs/application/formal-i02-r/results.json,evaluation/artifacts/decisionbench-study-20260910/evidence/full/evidence/formal-i02-r.json,24e826b66d63d773e66ce01f386f958b718dc5c6d637e9f7352dcdc7d5f75020,87d887374152dba26750a537282bfa30b2d0b0dbd8bcdf8897864aa48477ee27
application,formal-i03-a,1,杨辉三角缺少证据,assessment,application,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/decisionbench-final-method-20260910/runs/application/formal-i03-a/results.json,evaluation/artifacts/decisionbench-study-20260910/evidence/full/evidence/formal-i03-a.json,47fe33fc5f3396f87ff2d607bb5189ed799cbe4c44ff9be386a476a8ec537301,83941fc3b52b2b9b90cd87cb844559d6a0524ebf05708fc3481ffdf4f0ff65b5
application,formal-i03-i,1,午夜前的杨辉三角提醒,intervention,application,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/decisionbench-final-method-20260910/runs/application/formal-i03-i/results.json,evaluation/artifacts/decisionbench-study-20260910/evidence/full/evidence/formal-i03-i.json,9063ff79c33eeda7b622c6557abc25539e913b0116238a7645aba5bf387e3787,97508ef8dfb185d4f1068b15bf83f4c3c6cec7217c01ab59b9de03abd27f7ea2
application,formal-i03-p,1,先确认杨辉练习时间,planning,application,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/decisionbench-final-method-20260910/runs/application/formal-i03-p/results.json,evaluation/artifacts/decisionbench-study-20260910/evidence/full/evidence/formal-i03-p.json,3e3d98b85f99ace27d862de439f48d837d1c5a9bc562435260b8d20e46982ff5,8dda2273cd719675a8760ffcf43dd6d293111a9d0394989fb0b05fec4927f22a
application,formal-i03-r,1,杨辉练习等量拆分,revision,application,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/decisionbench-final-method-20260910/runs/application/formal-i03-r/results.json,evaluation/artifacts/decisionbench-study-20260910/evidence/full/evidence/formal-i03-r.json,69c452072a60b31e65b0becffc266d3c33cf5d78c52c345056b7948e475f4644,597a1127350f959f8cbc720394fcd6feb09ca4c5520c5c65946c060be88e40b3
application,formal-i04-a,1,舍入模式未约定,assessment,application,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/decisionbench-final-method-20260910/runs/application/formal-i04-a/results.json,evaluation/artifacts/decisionbench-study-20260910/evidence/full/evidence/formal-i04-a.json,258542b57903dca5040eb33fdb9856e9930b6e295f6247dd986997098c04f271,5ca40ef105f8e9237d5d0eb1f4ab39b9f9e1d7c2728e619bebf4f839e8708d9d
application,formal-i04-i,1,先问舍入练习时段,intervention,application,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/decisionbench-final-method-20260910/runs/application/formal-i04-i/results.json,evaluation/artifacts/decisionbench-study-20260910/evidence/full/evidence/formal-i04-i.json,8077053c80eecb84bceebe9ce62e0a1d486a62d6da97758222fb29116b9bd7fc,ff3f8e2d0d311c8f79b5adf098c3b6ba9543e11b9a332ebce14921402209c2bd
application,formal-i04-p,1,把舍入模式误定为取偶,planning,application,complete,complete,92.5,92.5,pass,minor,1,2,2,2,2,2,2,evaluation/artifacts/decisionbench-final-method-20260910/runs/application/formal-i04-p/results.json,evaluation/artifacts/decisionbench-study-20260910/evidence/full/evidence/formal-i04-p.json,4a3704f76868568382445ae0f71a826bddb733fad472dc216c3525e52e26a715,a45d1d525c63da5842897f5053a8843d427a882653cc5d70c3101fdb092bbc70
application,formal-i04-r,1,舍入安排无需修改,revision,application,complete,complete,100,100,pass,none,2,2,2,2,2,2,2,evaluation/artifacts/decisionbench-final-method-20260910/runs/application/formal-i04-r/results.json,evaluation/artifacts/decisionbench-study-20260910/evidence/full/evidence/formal-i04-r.json,ff1446ac58dc8cb5cb6684801b8a9f6349aaed58c4d55f7524fee4d3348cad1a,20c0d1b3df24f0197e9c59910c52ca50efc6954d4088788892810a6a9fb706ae
