experiment,id,repeat,track,status,original_status,recovery,raw_score,score,outcome,D1,D2,D3,D4,D5,D6,D7
full,formal-i01-a,1,assessment,complete,judge_error,additional-finding-label-parser-fix,100,100,pass,2,2,2,2,2,2,2
full,formal-i01-i,1,intervention,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i01-p,1,planning,complete,complete,,92.5,92.5,pass,1,2,2,2,2,2,2
full,formal-i01-r,1,revision,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i02-a,1,assessment,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i02-i,1,intervention,complete,judge_error,additional-finding-label-parser-fix,100,100,pass,2,2,2,2,2,2,2
full,formal-i02-p,1,planning,complete,complete,,92.5,92.5,pass,1,2,2,2,2,2,2
full,formal-i02-r,1,revision,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i03-a,1,assessment,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i03-i,1,intervention,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i03-p,1,planning,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i03-r,1,revision,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i04-a,1,assessment,complete,judge_error,additional-finding-label-parser-fix,100,100,pass,2,2,2,2,2,2,2
full,formal-i04-i,1,intervention,complete,judge_error,additional-finding-label-parser-fix,100,100,pass,2,2,2,2,2,2,2
full,formal-i04-p,1,planning,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i04-r,1,revision,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i05-a,1,assessment,complete,judge_error,additional-finding-label-parser-fix,100,100,pass,2,2,2,2,2,2,2
full,formal-i05-i,1,intervention,complete,judge_error,additional-finding-label-parser-fix,100,100,pass,2,2,2,2,2,2,2
full,formal-i05-p,1,planning,complete,complete,,92.5,92.5,pass,1,2,2,2,2,2,2
full,formal-i05-r,1,revision,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i06-a,1,assessment,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i06-i,1,intervention,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i06-p,1,planning,complete,complete,,92.5,92.5,pass,1,2,2,2,2,2,2
full,formal-i06-r,1,revision,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i07-a,1,assessment,complete,judge_error,additional-finding-label-parser-fix,100,100,pass,2,2,2,2,2,2,2
full,formal-i07-i,1,intervention,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i07-p,1,planning,complete,judge_error,one-unscored-operational-cycle,92.5,92.5,pass,1,2,2,2,2,2,2
full,formal-i07-r,1,revision,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i08-a,1,assessment,complete,judge_error,additional-finding-label-parser-fix,100,100,pass,2,2,2,2,2,2,2
full,formal-i08-i,1,intervention,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i08-p,1,planning,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i08-r,1,revision,complete,judge_error,additional-finding-label-parser-fix,100,100,pass,2,2,2,2,2,2,2
full,formal-i09-a,1,assessment,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i09-i,1,intervention,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i09-p,1,planning,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i09-r,1,revision,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i10-a,1,assessment,complete,judge_error,one-unscored-operational-cycle,100,100,pass,2,2,2,2,2,2,2
full,formal-i10-i,1,intervention,complete,complete,,97.5,97.5,pass,2,2,2,2,2,1,2
full,formal-i10-p,1,planning,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i10-r,1,revision,complete,judge_error,additional-finding-label-parser-fix,100,100,pass,2,2,2,2,2,2,2
full,formal-i11-a,1,assessment,complete,judge_error,additional-finding-label-parser-fix,100,100,pass,2,2,2,2,2,2,2
full,formal-i11-i,1,intervention,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i11-p,1,planning,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i11-r,1,revision,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i12-a,1,assessment,complete,judge_error,additional-finding-label-parser-fix,100,100,pass,2,2,2,2,2,2,2
full,formal-i12-i,1,intervention,complete,complete,,100,100,pass,2,2,2,2,2,2,2
full,formal-i12-p,1,planning,complete,complete,,92.5,92.5,pass,1,2,2,2,2,2,2
full,formal-i12-r,1,revision,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-01-1,1,planning,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-01-2,1,planning,complete,complete,,75,69,fail,1,2,2,1,1,2,2
validation,quality-01-3,1,planning,complete,complete,,47.5,39,fail,2,2,0,0,1,2,1
validation,quality-02-1,1,planning,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-02-2,1,planning,complete,complete,,70,69,fail,0,2,2,2,0,2,2
