case_id,scenario_family_id,track,difficulty,terminal_kind,artifact_id,status,reviewed_outcome,raw_score,rule_capped_score,reviewed_score,dimensions,confirmed_critical,pending_candidates,actual_hard_gates,action_class,run_status
formal-i01-a,formal-i01,assessment,standard,episode,episode-84c130b6d17a0d1b422ca2ce,complete,fail,87.5,69,69,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 1}",[],[],[],ACCEPT,waiting_approval
formal-i01-i,formal-i01,intervention,standard,episode,episode-81c67e6bb046880d3b2558fa,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],INTERVENE_MESSAGE,completed
formal-i01-p,formal-i01,planning,standard,failure,failure:formal-i01-p,runtime_failure,runtime_failure,,,,{},[],[],[],,
formal-i01-r,formal-i01,revision,standard,episode,episode-7024e4b1bac40e7f6e273a04,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",APPLY_REVERSIBLE_PATCH,completed
formal-i02-a,formal-i02,assessment,standard,episode,episode-956b90109b69354d32d7448a,complete,fail,92.5,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",REVISION_REQUIRED,waiting_approval
formal-i02-i,formal-i02,intervention,standard,episode,episode-33798aa668600de55eea52e4,complete,pass,87.5,87.5,87.5,"{""D1"": 1, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 1}",[],[],[],WAIT,completed
formal-i02-p,formal-i02,planning,standard,episode,episode-e5c29a6e505adf573bfc58cb,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",PROPOSE_PLAN,waiting_approval
formal-i02-r,formal-i02,revision,standard,episode,episode-c03ee0e36500080eb1856ce4,complete,fail,95,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 1}",[],[],"[""common.action_classification""]",NO_OP,completed
formal-i03-a,formal-i03,assessment,standard,episode,episode-b587608087f13169ed641f00,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",INSUFFICIENT_EVIDENCE,completed
formal-i03-i,formal-i03,intervention,standard,episode,episode-38711e14634c7a557bdc7bb7,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],WAIT,completed
formal-i03-p,formal-i03,planning,standard,episode,episode-9ce1f299e7a2856af6cd634f,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],REQUEST_USER_INPUT,completed
formal-i03-r,formal-i03,revision,standard,episode,episode-f684e5126c7faf4de8cf6d54,judge_error,judge_error,,,,{},[],[],"[""common.action_classification""]",PROPOSE_CHANGE,completed
