id,name,track,dimension,automatic,review
formal-i01-a,Luhn校验记录,assessment,D1,2,2
formal-i01-a,Luhn校验记录,assessment,D2,2,2
formal-i01-a,Luhn校验记录,assessment,D3,2,2
formal-i01-a,Luhn校验记录,assessment,D4,2,2
formal-i01-a,Luhn校验记录,assessment,D5,2,2
formal-i01-a,Luhn校验记录,assessment,D6,2,2
formal-i01-a,Luhn校验记录,assessment,D7,2,2
formal-i01-i,空档中的校验和提醒,intervention,D1,2,2
formal-i01-i,空档中的校验和提醒,intervention,D2,2,2
formal-i01-i,空档中的校验和提醒,intervention,D3,2,2
formal-i01-i,空档中的校验和提醒,intervention,D4,2,2
formal-i01-i,空档中的校验和提醒,intervention,D5,2,2
formal-i01-i,空档中的校验和提醒,intervention,D6,2,2
formal-i01-i,空档中的校验和提醒,intervention,D7,2,2
formal-i01-p,校验和计划的背景推断,planning,D1,1,1
formal-i01-p,校验和计划的背景推断,planning,D2,2,2
formal-i01-p,校验和计划的背景推断,planning,D3,2,2
formal-i01-p,校验和计划的背景推断,planning,D4,2,2
formal-i01-p,校验和计划的背景推断,planning,D5,2,2
formal-i01-p,校验和计划的背景推断,planning,D6,2,2
formal-i01-p,校验和计划的背景推断,planning,D7,2,2
formal-i01-r,只减校验和周时长,revision,D1,2,2
formal-i01-r,只减校验和周时长,revision,D2,2,2
formal-i01-r,只减校验和周时长,revision,D3,2,2
formal-i01-r,只减校验和周时长,revision,D4,2,2
formal-i01-r,只减校验和周时长,revision,D5,2,2
formal-i01-r,只减校验和周时长,revision,D6,2,2
formal-i01-r,只减校验和周时长,revision,D7,2,2
formal-i02-a,模幂的模一边界,assessment,D1,2,1
formal-i02-a,模幂的模一边界,assessment,D2,2,2
formal-i02-a,模幂的模一边界,assessment,D3,2,2
formal-i02-a,模幂的模一边界,assessment,D4,2,2
formal-i02-a,模幂的模一边界,assessment,D5,2,2
formal-i02-a,模幂的模一边界,assessment,D6,2,2
formal-i02-a,模幂的模一边界,assessment,D7,2,2
formal-i02-i,模幂提醒的冷却剩余,intervention,D1,2,2
formal-i02-i,模幂提醒的冷却剩余,intervention,D2,2,2
formal-i02-i,模幂提醒的冷却剩余,intervention,D3,2,2
formal-i02-i,模幂提醒的冷却剩余,intervention,D4,2,2
formal-i02-i,模幂提醒的冷却剩余,intervention,D5,2,2
formal-i02-i,模幂提醒的冷却剩余,intervention,D6,2,2
formal-i02-i,模幂提醒的冷却剩余,intervention,D7,2,2
formal-i02-p,模幂计划的背景推断,planning,D1,1,1
formal-i02-p,模幂计划的背景推断,planning,D2,2,2
formal-i02-p,模幂计划的背景推断,planning,D3,2,2
formal-i02-p,模幂计划的背景推断,planning,D4,2,2
formal-i02-p,模幂计划的背景推断,planning,D5,2,2
formal-i02-p,模幂计划的背景推断,planning,D6,2,2
formal-i02-p,模幂计划的背景推断,planning,D7,2,2
formal-i02-r,模幂安排无需修改,revision,D1,2,2
formal-i02-r,模幂安排无需修改,revision,D2,2,2
formal-i02-r,模幂安排无需修改,revision,D3,2,2
formal-i02-r,模幂安排无需修改,revision,D4,2,2
formal-i02-r,模幂安排无需修改,revision,D5,2,2
formal-i02-r,模幂安排无需修改,revision,D6,2,2
formal-i02-r,模幂安排无需修改,revision,D7,2,2
formal-i03-a,杨辉三角缺少证据,assessment,D1,2,2
formal-i03-a,杨辉三角缺少证据,assessment,D2,2,2
formal-i03-a,杨辉三角缺少证据,assessment,D3,2,2
formal-i03-a,杨辉三角缺少证据,assessment,D4,2,2
formal-i03-a,杨辉三角缺少证据,assessment,D5,2,2
formal-i03-a,杨辉三角缺少证据,assessment,D6,2,2
formal-i03-a,杨辉三角缺少证据,assessment,D7,2,2
formal-i03-i,午夜前的杨辉三角提醒,intervention,D1,2,2
formal-i03-i,午夜前的杨辉三角提醒,intervention,D2,2,2
formal-i03-i,午夜前的杨辉三角提醒,intervention,D3,2,2
formal-i03-i,午夜前的杨辉三角提醒,intervention,D4,2,2
formal-i03-i,午夜前的杨辉三角提醒,intervention,D5,2,2
formal-i03-i,午夜前的杨辉三角提醒,intervention,D6,2,2
formal-i03-i,午夜前的杨辉三角提醒,intervention,D7,2,2
formal-i03-p,先确认杨辉练习时间,planning,D1,2,2
formal-i03-p,先确认杨辉练习时间,planning,D2,2,2
formal-i03-p,先确认杨辉练习时间,planning,D3,2,2
formal-i03-p,先确认杨辉练习时间,planning,D4,2,2
formal-i03-p,先确认杨辉练习时间,planning,D5,2,2
formal-i03-p,先确认杨辉练习时间,planning,D6,2,2
formal-i03-p,先确认杨辉练习时间,planning,D7,2,2
formal-i03-r,杨辉练习等量拆分,revision,D1,2,2
formal-i03-r,杨辉练习等量拆分,revision,D2,2,2
formal-i03-r,杨辉练习等量拆分,revision,D3,2,2
formal-i03-r,杨辉练习等量拆分,revision,D4,2,2
formal-i03-r,杨辉练习等量拆分,revision,D5,2,2
formal-i03-r,杨辉练习等量拆分,revision,D6,2,2
